TotalTime;SegmentTime;XTran1;YTran1;ZTran1;XTran2;YTran2;ZTran2;cXTran;cYTran;cZTran
57.63742;2.056526;0.04285672;0.7646343;0.3074039;-0.02186315;0.7857928;0.4595922;-0.06471987;0.0211585;0.1521883
57.66557;2.084677;0.04283579;0.7648706;0.3072808;-0.02189247;0.7860491;0.4594634;-0.06472826;0.0211785;0.1521826
57.71049;2.129591;0.04272966;0.7649286;0.30733;-0.02196407;0.7861332;0.4595234;-0.06469373;0.0212046;0.1521934
57.73233;2.151432;0.0427143;0.7649529;0.3073794;-0.02199275;0.7861508;0.4595701;-0.06470705;0.0211979;0.1521907
57.74998;2.169082;0.04345922;0.7649493;0.3074822;-0.02123048;0.786167;0.4596772;-0.0646897;0.0212177;0.152195
57.7822;2.201305;0.04361809;0.764807;0.3075732;-0.02107042;0.7860167;0.4597706;-0.06468851;0.0212097;0.1521974
57.80653;2.225632;0.0436733;0.7647619;0.3075689;-0.02100883;0.7859784;0.4597664;-0.06468213;0.0212165;0.1521975
57.83262;2.251725;0.04381406;0.7646921;0.3076478;-0.02084529;0.7859285;0.4598524;-0.06465935;0.0212364;0.1522046
57.85886;2.277967;0.04372106;0.7648184;0.3077376;-0.0209466;0.7860866;0.4599346;-0.06466766;0.0212682;0.152197
57.8858;2.30491;0.04325067;0.7647728;0.3078351;-0.02142145;0.7860255;0.4600337;-0.06467212;0.0212527;0.1521986
57.90818;2.327281;0.04299955;0.7646529;0.3078137;-0.0216549;0.7859112;0.4600179;-0.06465445;0.0212583;0.1522042
57.9352;2.354302;0.04311624;0.7646762;0.3076826;-0.02154702;0.7859336;0.4598839;-0.06466326;0.0212574;0.1522013
57.96865;2.38776;0.04314109;0.7647715;0.3078721;-0.02148848;0.7860845;0.4600796;-0.06462957;0.021313;0.1522075
57.98547;2.404576;0.04303345;0.7647685;0.3080089;-0.02160389;0.7860608;0.4602178;-0.06463734;0.0212923;0.1522089
58.00941;2.428512;0.04288384;0.7647102;0.3078648;-0.02175114;0.7860034;0.4600741;-0.06463498;0.0212932;0.1522093
58.04394;2.463043;0.04272329;0.7645863;0.307704;-0.02188588;0.7859358;0.4599146;-0.06460917;0.0213495;0.1522106
58.0615;2.480607;0.04260447;0.7643998;0.307863;-0.02201104;0.7857563;0.4600718;-0.06461551;0.0213565;0.1522088
58.09212;2.511226;0.04245338;0.7641246;0.3082137;-0.02215072;0.7855036;0.460425;-0.0646041;0.021379;0.1522113
58.11849;2.537593;0.04262423;0.7641304;0.3084308;-0.02198046;0.785513;0.4606416;-0.06460469;0.0213826;0.1522108
58.14376;2.562871;0.04276448;0.7642201;0.3086703;-0.02183457;0.7856364;0.4608785;-0.06459905;0.0214163;0.1522082
58.16777;2.58688;0.04286264;0.7642592;0.3087857;-0.02173711;0.7856561;0.4609979;-0.06459975;0.0213969;0.1522122
58.19313;2.612239;0.04285366;0.7642295;0.3087657;-0.0217496;0.7856194;0.4609777;-0.06460326;0.0213899;0.152212
58.21946;2.638569;0.04250664;0.7640442;0.3088281;-0.02209675;0.7854353;0.4610399;-0.06460339;0.0213911;0.1522118
58.24431;2.663414;0.04219777;0.7636827;0.30889;-0.0223745;0.7851741;0.4610998;-0.06457227;0.0214914;0.1522098
58.26405;2.683156;0.04206066;0.7635611;0.3089191;-0.02251502;0.7850512;0.4611308;-0.06457568;0.0214901;0.1522117
58.28131;2.700418;0.04287909;0.7636937;0.3086746;-0.0217015;0.7851894;0.4608839;-0.06458059;0.0214957;0.1522093
58.31412;2.733227;0.04314451;0.763839;0.3085582;-0.02143481;0.7853252;0.4607695;-0.06457932;0.0214862;0.1522113
58.3378;2.7569;0.04341988;0.7641746;0.3082515;-0.02115731;0.7856706;0.4604623;-0.06457719;0.021496;0.1522108
58.35622;2.775328;0.0434852;0.76425;0.3080313;-0.02109449;0.7858208;0.4602299;-0.06457969;0.0215708;0.1521986
58.37582;2.794926;0.04349813;0.7642874;0.307717;-0.02107726;0.7858261;0.4599223;-0.06457539;0.0215387;0.1522053
