TotalTime;SegmentTime;XTran1;;;;;
16.12;0.7392979;0.00215479;;;;;
16.14357;0.7628599;-0.002627689;;;;;
16.16886;0.7881559;-0.007318111;;;;;
16.19222;0.8115181;-0.0124834;;;;;
16.21829;0.8375812;-0.0163911;;;;;
16.24172;0.8610114;-0.0199571;;;;;
16.2647;0.8839961;-0.02164907;;;;;
16.28136;0.9006525;-0.0267076;;;;;
16.31393;0.9332246;-0.03043365;;;;;
16.33632;0.9556091;-0.03389744;;;;;
16.35625;0.9755365;-0.03822579;;;;;
16.38197;1.00126;-0.04202709;;;;;
16.40546;1.024748;-0.04598724;;;;;
16.4269;1.046193;-0.05023303;;;;;
16.45262;1.071911;-0.05521912;;;;;
16.48071;1.099995;-0.05978201;;;;;
16.50479;1.124074;-0.0639156;;;;;
16.5269;1.146186;-0.06686382;;;;;
16.54487;1.16416;-0.06894948;;;;;
16.56602;1.185304;-0.07501952;;;;;
16.59678;1.21607;-0.07851824;;;;;
16.61707;1.236357;-0.081524;;;;;
16.63984;1.259135;-0.08403809;;;;;
16.65705;1.276339;-0.08753352;;;;;
16.68217;1.301461;-0.09070425;;;;;
16.70577;1.325064;-0.09381252;;;;;
16.72824;1.347531;-0.09695096;;;;;
16.75339;1.372684;-0.09983891;;;;;
16.77962;1.398916;-0.1020799;;;;;
16.80359;1.42288;-0.104688;;;;;
16.828;1.447288;-0.1059148;;;;;
16.84468;1.463972;-0.1107857;;;;;
16.8798;1.499093;-0.1133216;;;;;
16.90243;1.521722;-0.1157197;;;;;
16.92722;1.546513;-0.1183846;;;;;
16.9507;1.569993;-0.1194865;;;;;
16.9734;1.592695;-0.1214544;;;;;
17.00531;1.6246;-0.1222779;;;;;
17.02146;1.640755;-0.1225591;;;;;
17.05154;1.67083;-0.1229848;;;;;
17.07369;1.692982;-0.1240767;;;;;
17.10254;1.721828;-0.1262451;;;;;
17.12739;1.746682;-0.1272147;;;;;
17.14313;1.762424;-0.1279343;;;;;
17.16671;1.786002;-0.1291732;;;;;
17.19502;1.814314;-0.1293063;;;;;
17.22047;1.839766;-0.1294267;;;;;
17.24821;1.867501;-0.1293543;;;;;
17.26437;1.883661;-0.1301942;;;;;
17.29318;1.912478;-0.1317579;;;;;
17.32101;1.940305;-0.1325665;;;;;
17.34519;1.964488;-0.1332549;;;;;
17.37242;1.991716;-0.1333935;;;;;
17.39355;2.012844;-0.1332112;;;;;
17.41328;2.03257;-0.1329246;;;;;
17.43964;2.058933;-0.1327178;;;;;
17.4614;2.080694;-0.132333;;;;;
17.48539;2.104678;-0.1318045;;;;;
17.50717;2.126466;-0.1313877;;;;;
17.53253;2.151821;-0.1311929;;;;;
17.56024;2.179534;-0.1310244;;;;;
17.58194;2.201236;-0.1307485;;;;;
17.60542;2.224719;-0.1303012;;;;;
17.64305;2.262349;-0.129512;;;;;
17.66409;2.283389;-0.1290654;;;;;
17.67908;2.298375;-0.1284975;;;;;
17.70523;2.324524;-0.1267884;;;;;
17.73721;2.356502;-0.1264593;;;;;
17.76153;2.38083;-0.1256004;;;;;
17.78352;2.402812;-0.1243517;;;;;
17.80672;2.426016;-0.1239046;;;;;
17.82968;2.44898;-0.1227394;;;;;
17.85903;2.478327;-0.1213391;;;;;
17.88368;2.502978;-0.1188922;;;;;
17.90722;2.526513;-0.1166571;;;;;
17.93789;2.557185;-0.1130087;;;;;
17.95358;2.572882;-0.1081323;;;;;
17.9814;2.600693;-0.1036418;;;;;
18.00545;2.624744;-0.09934017;;;;;
18.02897;2.648271;-0.09519977;;;;;
18.05295;2.672245;-0.09225667;;;;;
18.07445;2.693749;-0.08954488;;;;;
18.09818;2.717475;-0.0864736;;;;;
18.12471;2.744009;-0.08275641;;;;;
18.15;2.7693;-0.080915;;;;;
18.16612;2.785417;-0.07528877;;;;;
18.19642;2.815722;-0.07134345;;;;;
18.2185;2.837794;-0.0680895;;;;;
18.24295;2.862249;-0.06332329;;;;;
18.26435;2.883653;-0.05913337;;;;;
18.29087;2.910171;-0.05471999;;;;;
18.31645;2.93575;-0.05282502;;;;;
18.34009;2.95939;-0.04893416;;;;;
18.36285;2.982153;-0.0449958;;;;;
18.3858;3.005099;-0.04108251;;;;;
18.40853;3.027831;-0.03718008;;;;;
18.43084;3.050142;-0.03571423;;;;;
18.45134;3.070643;-0.02921882;;;;;
18.48315;3.102448;-0.02493617;;;;;
18.50816;3.127454;-0.02087797;;;;;
18.52894;3.14824;-0.01763309;;;;;
18.55237;3.171664;-0.01363892;;;;;
18.57535;3.194652;-0.009479748;;;;;
18.60289;3.222186;-0.005439116;;;;;
18.62843;3.247731;-0.001745809;;;;;
18.65218;3.271477;0.001750544;;;;;
18.67476;3.294061;0.004905106;;;;;
18.6976;3.316894;0.007755632;;;;;
18.7202;3.339495;0.01090938;;;;;
18.74512;3.364419;0.01381885;;;;;
18.77224;3.391533;0.01712456;;;;;
18.79519;3.414488;0.02052492;;;;;
18.81943;3.438731;0.02389818;;;;;
18.84518;3.464477;0.02664668;;;;;
18.87287;3.492166;0.02879234;;;;;
18.89662;3.515921;0.03094014;;;;;
18.92052;3.539824;0.0330531;;;;;
18.94331;3.562612;0.03617368;;;;;
18.96946;3.588759;0.03890596;;;;;
