TotalTime;SegmentTime;XTran1;YTran1;ZTran1;XTran2;YTran2;ZTran2;cXTran;cYTran;cZran
57.06187;57.06187;0.04503302;0.7648567;0.3131463;-0.03791273;0.7830297;0.4520048;-0.08294575;0.018173;0.1388585
57.08746;57.08746;0.0450983;0.7647396;0.3131721;-0.03787151;0.7829243;0.4520135;-0.08296981;0.0181847;0.1388414
57.10806;57.10806;0.04535134;0.7648822;0.3132173;-0.03760793;0.7830607;0.4520622;-0.08295927;0.0181785;0.1388449
57.13377;57.13377;0.04529109;0.7649345;0.3135442;-0.03766818;0.7831131;0.4523891;-0.08295927;0.0181786;0.1388449
57.15633;57.15633;0.04537669;0.7650625;0.3138535;-0.0375942;0.783241;0.4526907;-0.08297089;0.0181785;0.1388372
57.19267;57.19267;0.04576164;0.7655404;0.3142409;-0.0372057;0.7837372;0.4530765;-0.08296734;0.0181968;0.1388356
57.21369;57.21369;0.04586191;0.7659401;0.3142713;-0.03710436;0.7841315;0.4531082;-0.08296627;0.0181914;0.1388369
57.23376;57.23376;0.04591761;0.7661108;0.313662;-0.03704751;0.7842999;0.4524986;-0.08296512;0.0181891;0.1388366
57.26464;57.26464;0.04641734;0.7658478;0.312785;-0.03654602;0.7840391;0.4516223;-0.08296336;0.0181913;0.1388373
57.29577;57.29577;0.04654685;0.7654173;0.3123827;-0.03641996;0.7836072;0.4512192;-0.08296681;0.0181899;0.1388365
57.31381;57.31381;0.0462466;0.7648171;0.3123316;-0.03674349;0.7830044;0.4511546;-0.08299009;0.0181873;0.138823
57.33936;57.33936;0.04553983;0.7646921;0.3129699;-0.03746517;0.7829011;0.4517776;-0.083005;0.018209;0.1388077
57.36241;57.36241;0.04443602;0.76504;0.3140626;-0.03857696;0.7832395;0.452865;-0.08301298;0.0181995;0.1388024
57.38736;57.38736;0.04360969;0.76569;0.3145546;-0.03945418;0.7839522;0.4533137;-0.08306387;0.0182622;0.1387591
57.40909;57.40909;0.04349415;0.7659365;0.314382;-0.03957814;0.7843077;0.45311;-0.08307229;0.0183712;0.138728
