TotalTime;SegmentTime;XTran1
14.70532;3.46093;-0.1915674
14.7262;3.481811;-0.1915376
14.75003;3.505643;-0.1915988
14.7721;3.527711;-0.1917301
14.80169;3.557304;-0.1916809
14.82124;3.576852;-0.1912662
14.84479;3.6004;-0.1910718
14.86841;3.62402;-0.1909787
14.88972;3.645327;-0.1911384
14.92059;3.676197;-0.1913161
14.93807;3.693677;-0.1913871
14.96257;3.718185;-0.191449
14.9848;3.74041;-0.1914896
15.00881;3.764418;-0.191504
15.03279;3.788403;-0.1916754
15.05551;3.811116;-0.1917543
15.07206;3.827666;-0.1915498
15.10293;3.858543;-0.1908253
15.12535;3.880963;-0.1901697
15.14929;3.904898;-0.1896657
15.17657;3.932179;-0.189403
15.1997;3.955306;-0.1894469
15.22154;3.977145;-0.1895274
15.24478;4.000387;-0.1894893
15.2703;4.025906;-0.1892333
15.29006;4.045669;-0.1887211
15.32113;4.076736;-0.1882619
15.33805;4.093657;-0.1879054
15.36138;4.116986;-0.1874674
15.38891;4.144522;-0.1871424
15.41169;4.167295;-0.1868785
15.43446;4.190064;-0.186737
15.45655;4.21216;-0.1866429
15.48119;4.236803;-0.1864814
15.50917;4.264779;-0.1863463
15.53065;4.286256;-0.1863021
15.56096;4.316566;-0.1862812
15.57807;4.333675;-0.1863855
15.60005;4.355658;-0.186473
15.62191;4.377521;-0.1864678
15.64694;4.402549;-0.186431
15.6703;4.42591;-0.1861765
15.69223;4.447839;-0.1860034
15.70894;4.464544;-0.1858589
15.73346;4.489068;-0.1860595
15.76533;4.520934;-0.1864647
15.78798;4.543591;-0.1867654
15.8107;4.566311;-0.1869623
15.8349;0.024198;-0.1870795
15.85689;0.0461866;-0.1873227
15.88151;0.0708074;-0.1876664
15.90627;0.0955634;-0.1879988
15.93109;0.1203862;-0.1879422
15.95353;0.1428262;-0.1877047
15.97658;0.165879;-0.1871596
15.9997;0.1889992;-0.1870289
16.02449;0.2137905;-0.1869275
16.04524;0.2345375;-0.1875151
16.06771;0.2570093;-0.1878128
16.09325;0.2825435;-0.1874318
16.11658;0.3058729;-0.1869338
16.14054;0.3298348;-0.1853346
16.16538;0.3546813;-0.1828324
16.18762;0.3769161;-0.1790513
16.21137;0.4006706;-0.1750103
16.23343;0.4227246;-0.1697942
16.25749;0.4467863;-0.1667141
16.27382;0.4631174;-0.1587811
16.30606;0.4953557;-0.1510595
16.33213;0.5214247;-0.1451951
16.35506;0.5443547;-0.1400877
16.38558;0.5748804;-0.1357395
16.40156;0.5908536;-0.1305501
16.42724;0.6165382;-0.1247909
16.44992;0.639214;-0.1184285
16.48364;0.6729345;-0.1123655
16.50072;0.6900225;-0.1061679
16.52536;0.7146551;-0.100286
16.55586;0.7451576;-0.09478531
16.57012;0.759414;-0.08929542
16.59745;0.7867519;-0.08691124
16.619;0.8082978;-0.08054747
16.64265;0.8319504;-0.0748884
16.67473;0.8640308;-0.06993023
16.69881;0.8881094;-0.06564271
16.71655;0.9058453;-0.0615771
16.73869;0.9279903;-0.0566819
16.76844;0.9577361;-0.05347279
16.79108;0.9803784;-0.05076811
16.81404;1.003345;-0.04779368
16.83782;1.027122;-0.04538692
16.85881;1.048109;-0.04386165
16.88187;1.071171;-0.04341398
16.90411;1.093414;-0.0415905
16.93471;1.124009;-0.04072952
16.958;1.147303;-0.04041604
16.97987;1.169173;-0.03830069
17.00426;1.193566;-0.02713906
17.02715;1.21645;-0.01437987
17.05757;1.246876;-0.007001616
17.08044;1.26974;-0.001628827
17.10551;1.294818;0.001475085
17.12681;1.316116;0.00306738
17.15087;1.340169;0.00352928
17.17829;1.367589;0.003458643
17.20053;1.389835;0.003236266
17.22453;1.41383;0.003416939
17.25172;1.441028;0.00365549
17.27284;1.462149;0.004453999
17.29901;1.488315;0.00494457
17.33056;1.519865;0.005356736
17.35092;1.540227;0.005792113
17.37136;1.560665;0.00674153
17.39507;1.584373;0.008112926
17.42273;1.612033;0.009228859
17.44797;1.637273;0.01032626
17.4684;1.657703;0.01151827
17.49242;1.681729;0.01279332
17.51649;1.705793;0.01403541
17.5371;1.726408;0.01519433
17.56442;1.753726;0.01599968
17.59294;1.782243;0.01626531
17.62244;1.811753;0.0164631
17.63891;1.828219;0.0165591
17.6655;1.854805;0.0165419
17.69186;1.881172;0.01660098
17.71472;1.904025;0.01675735
17.73734;1.926645;0.01694444
17.75444;1.943744;0.0174135
17.7844;1.97371;0.01793486
17.81374;2.003051;0.01912078
17.83624;2.025551;0.01993879
17.85891;2.04822;0.02056149
17.88742;2.076726;0.0210695
17.90653;2.095833;0.02178165
17.9348;2.124103;0.02218467
17.95767;2.146978;0.02252042
17.98057;2.169878;0.02290268
18.0068;2.196105;0.02301898
18.02105;2.210361;0.02337591
18.05318;2.242489;0.02370315
18.08059;2.269901;0.02394281
18.10452;2.293829;0.02408672
18.12693;2.316242;0.02441415
18.15107;2.340379;0.02469033
18.17892;2.368228;0.02484547
18.20193;2.391234;0.02497732
18.22744;2.416749;0.02511391
18.25081;2.440115;0.02530906
18.27611;2.465419;0.02576227
18.30268;2.49199;0.02592767
18.33048;2.519793;0.02592759
18.35378;2.543086;0.02598226
18.37324;2.562545;0.02592462
18.39845;2.587759;0.02567643
18.42782;2.617128;0.02546709
18.45245;2.64176;0.02532436
18.47465;2.66396;0.02538301
18.49712;2.686427;0.0254023
18.52193;2.711243;0.0253607
18.54566;2.73497;0.02518857
18.56811;2.75742;0.0247889
18.59217;2.781486;0.02447642
18.61632;2.805631;0.02409681
18.64323;2.832538;0.02382375
18.66737;2.856683;0.02374446
18.68984;2.879149;0.02394639
18.7138;2.903112;0.02410332
18.73864;2.92795;0.02439541
18.75969;2.949;0.02456627
18.78709;2.976399;0.02468643
18.81268;3.001997;0.02474255
18.83685;3.026161;0.0249206
18.85817;3.047486;0.02540486
18.88859;3.077905;0.0255506
18.91086;3.100172;0.02551283
18.9267;3.116016;0.02543929
18.95254;3.141849;0.02522492
18.98644;3.175755;0.02518497
19.00941;3.19872;0.025155
19.03443;3.223741;0.0250943
19.05935;3.248668;0.02506199
19.07412;3.263435;0.02498492
19.10275;3.292065;0.02531267
19.12895;3.318266;0.02570969
19.1541;3.343419;0.02583531
19.18036;3.369676;0.02580273
19.20498;3.394294;0.02572835
19.22653;3.415844;0.02565293
19.25295;3.442263;0.02554648
19.27831;3.467622;0.02543912
19.31185;3.501163;0.02533475
19.32672;0.0148689;0.0252303
19.35023;0.0383868;0.02508661
19.3735;0.0616552;0.02488377
19.40171;0.0898672;0.02484906
19.42517;0.1133238;0.02491344
19.44792;0.136079;0.02525098
19.47466;0.1628124;0.02541051
19.49645;0.1846098;0.02528808
19.52381;0.2119696;0.02503919
19.54625;0.2344032;0.02471349
19.57051;0.2586636;0.02448272
19.59324;0.281399;0.02443076
19.61775;0.3059042;0.0244042
19.6461;0.3342511;0.02438063
19.66855;0.3567032;0.02428501
19.69225;0.3804062;0.02416209
19.71812;0.4062743;0.02408528
19.73265;0.4208125;0.02394111
19.76484;0.4529924;0.02403329
19.79036;0.4785125;0.02415028
19.81495;0.5031099;0.02419085
19.83772;0.5258792;0.02430633
19.86226;0.5504192;0.02441686
19.8881;0.5762592;0.02455914
19.92024;0.6083984;0.02468396
19.93915;0.6273044;0.02478932
19.96752;0.6556775;0.02482123
19.98541;0.6735631;0.02481334
20.01162;0.6997734;0.02471569
20.03678;0.7249362;0.0247057
20.05822;0.7463725;0.02472391
20.0818;0.7699537;0.02480287
20.10666;0.7948186;0.02502372
20.13316;0.821319;0.02521131
20.15742;0.8455779;0.02536041
20.18185;0.8700017;0.02549776
20.21409;0.9022413;0.02573087
20.23058;0.9187305;0.02589566
20.25791;0.9460661;0.02607107
20.28141;0.9695676;0.02619182
20.30499;0.9931428;0.02614963
20.32735;1.015506;0.02595826
20.35623;1.04438;0.02592104
20.37913;1.067281;0.0258969
20.40353;1.091684;0.02587776
20.41915;1.107305;0.02612082
20.45217;1.140326;0.0263566
20.47958;1.167736;0.02636219
20.50174;1.189888;0.02627814
20.52475;1.212904;0.02623418
20.54936;1.237517;0.02607694
20.57519;1.263344;0.02604399
20.59184;1.279995;0.02619385
20.62255;1.310704;0.02621682
20.64634;1.33449;0.02620931
20.67191;1.360064;0.02625299
20.69316;1.381313;0.02622864
20.71481;1.402963;0.02601645
20.74588;1.434036;0.02608399
20.77053;1.458685;0.02624989
20.7962;1.484355;0.02638387
20.81696;1.505116;0.02652279
20.84234;1.530493;0.02656872
20.86363;1.551781;0.02663247
20.89403;1.582186;0.02660543
20.91775;1.605901;0.02651603
20.94403;1.632186;0.02638094
20.96939;1.657541;0.02641504
20.99189;1.680038;0.02661681
21.01346;1.701612;0.02686187
21.03819;1.726347;0.02706076
21.06418;1.752328;0.02710333
21.0882;1.776352;0.02707408
21.12468;1.812827;0.02680654
21.13951;1.827663;0.02668385
21.16142;1.849571;0.02625229
21.18861;1.876758;0.02615096
21.21125;1.899397;0.02642625
21.23826;1.926407;0.02662684
21.26697;1.955123;0.0268575
21.28601;1.974161;0.02714569
21.31309;2.001243;0.02739126
21.33502;2.023169;0.02746925
21.35618;2.044328;0.02754664
21.38191;2.070063;0.0275468
21.40694;2.095096;0.02746143
21.43688;2.125028;0.02736383
21.45992;2.148072;0.02724115
21.48384;2.171989;0.02723109
21.50762;2.195773;0.02718777
21.53473;2.222888;0.02689078
21.56487;2.25302;0.0267127
21.58339;2.271546;0.02673605
